fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2021-22,133,Department of National Defence,Ready Forces,BUO06,Ready Cyber and Joint Communication Information Systems (CIS) Forces,100534128,115231158.1,100300090,102095627,832,765,841,849,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO07,Ready Intelligence Forces,162157981,174247791.3,163684129,167783376,1132,981,1140,1150,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO08,Ready Joint and Combined Forces,127861590,126361091.4,127028869,129245077,1155,964,1169,1182,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO09,"Ready Health, Military Police and Support Forces",154572981,169659940.4,174016938,160241733,984,945,994,1005,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO10,Equipment Support,3674023291,3415241466,3810926573,3985639517,2482,2365,2488,2496,,
FY 2021-22,133,Department of National Defence,Ready Forces,BUO11,Canadian Forces Liaison Council and Employer Support,4175070,1676636.34,4179319,4226178,1,2,1,1,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP01,Recruitment,123327332,114732526.2,122496101,124416717,657,527,664,670,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP02,Individual Training and Professional Military Education,467403046,469209774.4,469224453,479836432,3685,3337,3707,3739,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP03,Total Health Care,740553226,710835156.6,756271620,781226000,3980,3466,4011,4037,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP04,Defence Team Management,1544088376,1796189013,1556966256,1590933400,7199,9887,7279,7357,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP05,Military Transition,164576973,171594524.2,162940935,165008405,1669,1411,1686,1703,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP06,Military Member and Family Support,157135442,157229161.2,165280471,174874406,66,35,67,68,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP07,Military History and Heritage,10060767,13982940.69,10313670,10616399,32,32,33,33,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP08,Military Law Services/Military Justice Superintendence,45405984,41341773.11,45160123,45803743,403,265,407,410,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP09,Ombudsman,7164296,7878379.95,7269677,7265207,72,67,71,71,,
FY 2021-22,133,Department of National Defence,Defence Team,BUP10,Cadets and Junior Canadian Rangers (Youth Program),294911494,165877518.3,295562595,301997916,296,229,298,300,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ01,Joint Force Development,38118652,36335099.79,38731890,39962446,203,123,206,207,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ02,Naval Force Development,51307521,34148978.74,51962515,53378783,163,123,166,167,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ03,Land Force Development,85062829,27324995.66,84229740,84733576,34,5,34,34,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ04,Air and Space Force Development,68727515,90036701.39,69136943,70556993,152,88,153,155,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ05,Special Operations Force Development,48473604,17560695.83,49047336,50183655,0,0,0,0,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ06,Cyber and Joint Communication Information Systems (CIS) Force Development,16329543,43317247.65,16158487,16289207,127,129,125,125,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ07,Intelligence Force Development,57604484,82388412.36,56840058,57039352,38,15,40,40,,
FY 2021-22,133,Department of National Defence,Future Force Design,BUQ08,"Science, Technology and Innovation",402395171,418620911.2,413230790,423706405,1369,1500,1348,1342,,
FY 2021-22,133,Department of National Defence,Procurement of Capabilities,BUR01,Maritime Equipment Acquisition,2117308415,1885408381,1457036105,1257513778,466,373,467,468,,
FY 2021-22,133,Department of National Defence,Procurement of Capabilities,BUR02,Land Equipment Acquisition,1149046243,711471054.9,1419158937,1174353547,690,605,690,693,,
FY 2021-22,133,Department of National Defence,Procurement of Capabilities,BUR03,Aerospace Equipment Acquisition,1161881462,846226844.3,1132331968,825213569,321,287,318,319,,
FY 2021-22,133,Department of National Defence,Procurement of Capabilities,BUR04,"Defence Information Technology Systems Acquisition, Design and Delivery",185512636,203728167.4,172223085,149605126,357,369,358,358,,
FY 2021-22,133,Department of National Defence,Procurement of Capabilities,BUR05,Defence Materiel Management,127577070,100851784.4,129414720,131725324,1009,823,999,998,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS01,Defence Infrastructure Program Management,78600512,128284533.2,80311796,82254627,144,153,141,142,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS02,"Defence Infrastructure Construction, Recapitalization and Investment",549996335,718155164.4,556479734,500522841,67,64,65,65,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS03,"Defence Infrastructure Maintenance, Support and Operations",1149234739,1112469583,1194073711,1247446203,2719,2743,2692,2680,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS04,Military Family Housing,53935225,53292478.94,57329767,62210902,294,310,297,297,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS05,"Defence Information Systems, Services and Programme Management",202384580,234322367.7,206156244,211961400,596,514,600,603,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS06,Environmental Sustainability and Protection,93503241,102614361,98668127,110969399,52,52,52,52,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS07,Indigenous Affairs,5197780,5304885.51,5381708,5571841,23,22,22,22,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS08,Naval Bases,248614821,256314893.3,249439535,252607841,2121,2240,2116,2117,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS09,Land Bases,620558709,545490656.5,624545793,636265419,4328,4057,4339,4355,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS10,Air and Space Wings,474280817,458401218.6,476100099,486519508,3253,3066,3272,3295,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS11,"Joint, Common and International Bases",202167344,175768490.2,201394637,205031429,1579,1258,1590,1602,,
FY 2021-22,133,Department of National Defence,"Sustainable Bases, Information Technology Systems and Infrastructure",BUS12,Military Police Institutional Operations,145272101,148906838.8,143542001,145122190,1289,1133,1305,1320,,
